DIVISION_ID;PARTY_ID;ACRONYM;LABEL;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
sk;SK03;SNS;Slovenská národná strana; 4,09;FINAL;2019-05-28T18:06:00Z
sk;SK04;SMER-SD;SMER - Sociálna demokracia;15,72;FINAL;2019-05-28T18:06:00Z
sk;SK05;SMK-MPK;Strana mad'arskej komunity - Magyar Közösség Pártja; 4,96;FINAL;2019-05-28T18:06:00Z
sk;SK06;Coal (OL'aNO + NOVA);Coalition (Obyčajní Ľudia a nezávislé osobnosti + Nová väčšina - Dohoda); 5,25;FINAL;2019-05-28T18:06:00Z
sk;SK07;MOST-HID;Most-Híd; 2,59;FINAL;2019-05-28T18:06:00Z
sk;SK08;ĽSNS;Kotleba - Ľudová strana Naše Slovensko;12,07;FINAL;2019-05-28T18:06:00Z
sk;SK09;Sme Rodina;SME RODINA - Boris Kollár; 3,23;FINAL;2019-05-28T18:06:00Z
sk;SK10;Coal (PS + SPOLU);Coalition (Progresívne Slovensko + SPOLU - občianska demokracia);20,11;FINAL;2019-05-28T18:06:00Z
sk;SK11;KÚ;Kresťanská únia; 3,85;FINAL;2019-05-28T18:06:00Z
sk;SK12;KDŽP;Kresťanská demokracia - Život a prosperita; 2,06;FINAL;2019-05-28T18:06:00Z
sk;SK90;Other parties;Other parties; 6,76;FINAL;2019-05-28T18:06:00Z
fi;FI01;KESK;Suomen Keskusta;13,50;FINAL;2019-05-27T01:28:00Z
fi;FI02;KOK;Kansallinen Kokoomus;20,80;FINAL;2019-05-27T01:28:00Z
fi;FI03;SDP;Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;14,60;FINAL;2019-05-27T01:28:00Z
fi;FI04;VAS;Vasemmistoliitto ; 6,90;FINAL;2019-05-27T01:28:00Z
fi;FI05;VIHR;Vihreä liitto  ;16,00;FINAL;2019-05-27T01:28:00Z
fi;FI06;SFP (RKP);Svenska folkpartiet (Ruotsalainen kansanpuolue); 6,30;FINAL;2019-05-27T01:28:00Z
fi;FI07;PS;Perussuomalaiset;13,80;FINAL;2019-05-27T01:28:00Z
fi;FI08;KD;Suomen Kristillisdemokraatit; 4,90;FINAL;2019-05-27T01:28:00Z
fi;FI09;SIN;Sininen tulevaisuus; 0,30;FINAL;2019-05-27T01:28:00Z
fi;FI10;PP;Piraattipuolue; 0,70;FINAL;2019-05-27T01:28:00Z
fi;FI90;Other parties;Other parties; 2,20;FINAL;2019-05-27T01:28:00Z
se;SE01;V;Vänsterpartiet; 6,80;FINAL;2019-06-03T11:52:00Z
se;SE02;S;Socialdemokraterna;23,48;FINAL;2019-06-03T11:52:00Z
se;SE03;C;Centerpartiet;10,78;FINAL;2019-06-03T11:52:00Z
se;SE04;L;Liberalerna; 4,13;FINAL;2019-06-03T11:52:00Z
se;SE05;M;Moderaterna;16,83;FINAL;2019-06-03T11:52:00Z
se;SE06;KD;Kristdemokraterna; 8,62;FINAL;2019-06-03T11:52:00Z
se;SE07;MP;Miljöpartiet de Gröna;11,52;FINAL;2019-06-03T11:52:00Z
se;SE08;SD;Sverigedemokraterna;15,34;FINAL;2019-06-03T11:52:00Z
se;SE09;FI;Feministiskt Initiativ; 0,77;FINAL;2019-06-03T11:52:00Z
se;SE90;Other parties;Other parties; 1,73;FINAL;2019-06-03T11:52:00Z
uk;UK01;SF;Sinn Féin; 0,62;FINAL;2019-06-05T17:03:00Z
uk;UK02;DUP;Democratic Unionist Party; 0,59;FINAL;2019-06-05T17:03:00Z
uk;UK03;UUP;Ulster Unionist Party; 0,25;FINAL;2019-06-05T17:03:00Z
uk;UK04;SDLP;Social Democratic & Labour Party; 0,37;FINAL;2019-06-05T17:03:00Z
uk;UK05;TUV;Traditional Unionist Voice; 0,29;FINAL;2019-06-05T17:03:00Z
uk;UK06;APNI;Alliance Party; 0,50;FINAL;2019-06-05T17:03:00Z
uk;UK07;Cons.;Conservative and Unionist Party; 8,84;FINAL;2019-06-05T17:03:00Z
uk;UK08;Lab.;Labour Party;13,72;FINAL;2019-06-05T17:03:00Z
uk;UK09;UKIP;United Kingdom Independence Party; 3,21;FINAL;2019-06-05T17:03:00Z
uk;UK10;SNP;Scottish National Party; 3,50;FINAL;2019-06-05T17:03:00Z
uk;UK11;PL-PW;Plaid Cymru - Party of Wales; 0,97;FINAL;2019-06-05T17:03:00Z
uk;UK12;Lib dems;Liberal Democrats;19,75;FINAL;2019-06-05T17:03:00Z
uk;UK13;GP;Green Party;11,76;FINAL;2019-06-05T17:03:00Z
uk;UK14;Change UK;Change UK; 3,31;FINAL;2019-06-05T17:03:00Z
uk;UK15;Brexit Party;Brexit Party;30,74;FINAL;2019-06-05T17:03:00Z
uk;UK90;Other parties NI;Other parties Northern Ireland; 0,10;FINAL;2019-06-05T17:03:00Z
uk;UK91;Other parties GB;Other parties Great Britain; 1,48;FINAL;2019-06-05T17:03:00Z
gb;UK07;Cons.;Conservative and Unionist Party; 9,09;FINAL;2019-05-29T11:55:00Z
gb;UK08;Lab.;Labour Party;14,10;FINAL;2019-05-29T11:55:00Z
gb;UK09;UKIP;United Kingdom Independence Party; 3,30;FINAL;2019-05-29T11:55:00Z
gb;UK10;SNP;Scottish National Party; 3,60;FINAL;2019-05-29T11:55:00Z
gb;UK11;PL-PW;Plaid Cymru - Party of Wales; 1,00;FINAL;2019-05-29T11:55:00Z
gb;UK12;Lib dems;Liberal Democrats;20,30;FINAL;2019-05-29T11:55:00Z
gb;UK13;GP;Green Party;12,09;FINAL;2019-05-29T11:55:00Z
gb;UK14;Change UK;Change UK; 3,40;FINAL;2019-05-29T11:55:00Z
gb;UK15;Brexit Party;Brexit Party;31,60;FINAL;2019-05-29T11:55:00Z
gb;UK91;Other parties GB;Other parties Great Britain; 1,52;FINAL;2019-05-29T11:55:00Z
ni;UK01;SF;Sinn Féin;22,20;FINAL;2019-05-28T14:38:00Z
ni;UK02;DUP;Democratic Unionist Party;21,80;FINAL;2019-05-28T14:38:00Z
ni;UK03;UUP;Ulster Unionist Party; 9,30;FINAL;2019-05-28T14:38:00Z
ni;UK04;SDLP;Social Democratic & Labour Party;13,70;FINAL;2019-05-28T14:38:00Z
ni;UK05;TUV;Traditional Unionist Voice;10,80;FINAL;2019-05-28T14:38:00Z
ni;UK06;APNI;Alliance Party;18,50;FINAL;2019-05-28T14:38:00Z
ni;UK90;Other parties NI;Other parties Northern Ireland; 3,70;FINAL;2019-05-28T14:38:00Z
